,Species,Month,Observed number of groups,Mean simulated number of groups,SD of simulated number of groups,Delta
1,Eland,1,2,1.68,1.59,0.32
2,Eland,2,0,0.74,0.98,-0.74
3,Eland,3,0,1.02,1.16,-1.02
4,Eland,4,7,5.47,3.12,1.53
5,Eland,5,1,1.74,1.57,-0.74
6,Eland,6,1,2.36,1.93,-1.36
7,Eland,7,3,3.86,2.53,-0.86
8,Eland,8,9,8.36,3.90,0.64
9,Eland,9,4,3.99,2.53,0.01
10,Eland,10,3,2.80,2.05,0.20
11,Eland,11,0,0.98,1.15,-0.98
12,Eland,12,0,1.53,1.51,-1.53
13,Eland,13,2,1.24,1.31,0.76
14,Eland,14,1,0.67,0.95,0.33
15,Eland,15,1,1.05,1.21,-0.05
16,Eland,16,12,8.42,4.16,3.58
17,Eland,17,1,1.42,1.42,-0.42
18,Eland,18,1,2.28,1.93,-1.28
19,Eland,19,0,1.14,1.25,-1.14
20,Eland,20,4,2.59,2.03,1.41
21,Eland,21,3,3.06,2.13,-0.06
22,Eland,22,4,3.91,2.52,0.09
23,Eland,23,2,1.59,1.51,0.41
24,Eland,24,2,1.67,1.56,0.33
25,Eland,25,0,0.70,0.93,-0.70
26,Eland,26,0,0.70,0.93,-0.70
27,Eland,27,3,4.05,2.54,-1.05
28,Eland,28,11,9.62,4.25,1.38
29,Eland,29,10,9.25,4.08,0.75
30,Eland,30,7,6.85,3.49,0.15
31,Giraffe,1,5,5.05,2.92,-0.05
32,Giraffe,2,10,7.72,3.71,2.28
33,Giraffe,3,0,2.34,1.91,-2.34
34,Giraffe,4,6,6.35,3.21,-0.35
35,Giraffe,5,6,5.99,3.14,0.01
36,Giraffe,6,9,8.50,3.91,0.50
37,Giraffe,7,2,3.81,2.45,-1.81
38,Giraffe,8,9,8.07,3.85,0.93
39,Giraffe,9,6,6.28,3.23,-0.28
40,Giraffe,10,2,3.54,2.46,-1.54
41,Giraffe,11,1,2.81,2.09,-1.81
42,Giraffe,12,7,6.95,3.47,0.05
43,Giraffe,13,4,3.86,2.52,0.14
44,Giraffe,14,7,4.73,2.86,2.27
45,Giraffe,15,3,3.40,2.38,-0.40
46,Giraffe,16,15,12.66,4.76,2.34
47,Giraffe,17,9,7.59,3.65,1.41
48,Giraffe,18,7,6.79,3.38,0.21
49,Giraffe,19,14,11.52,4.63,2.48
50,Giraffe,20,0,2.24,1.89,-2.24
51,Giraffe,21,8,7.45,3.55,0.55
52,Giraffe,22,6,6.09,3.22,-0.09
53,Giraffe,23,8,6.75,3.31,1.25
54,Giraffe,24,1,2.65,2.02,-1.65
55,Giraffe,25,4,3.69,2.38,0.31
56,Giraffe,26,2,2.64,2.02,-0.64
57,Giraffe,27,2,3.44,2.37,-1.44
58,Giraffe,28,8,7.26,3.57,0.74
59,Giraffe,29,4,4.31,2.59,-0.31
60,Giraffe,30,5,5.18,2.99,-0.18
